"id","preparationPercent","lat","long","postalCode","investorId","villageId","provinceName","regencyName","districtName","villageName","createdAt","updatedAt","districtId","provinceId","regencyId","preparationEnd","preparationStart","statusId"
"02.SK.6639","20","0","0",,"INVS394DMU",,"SULAWESI SELATAN","KAB. TORAJA UTARA","SA'DAN","Belum diisi","2026-02-05 01:05:19.653","2026-02-05 01:05:19.653",,,,,,"3"
"02.SK.6640","20","0","0",,"INVS394DMU",,"SULAWESI SELATAN","KAB. TORAJA UTARA","SA'DAN","Belum diisi","2026-02-05 01:05:19.61","2026-02-05 01:05:19.61",,,,,,"3"
"02.SK.6641","20","0","0",,"INVS394DMU",,"SULAWESI SELATAN","KAB. TORAJA UTARA","SA'DAN","Belum diisi","2026-02-05 01:05:19.564","2026-02-05 01:05:19.564",,,,,,"3"
"02.SK.6642","20","0","0",,"INVS394DMU",,"SULAWESI SELATAN","KAB. TORAJA UTARA","SA'DAN","Belum diisi","2026-02-05 01:05:19.52","2026-02-05 01:05:19.52",,,,,,"3"
"02.SK.6643","20","0","0",,"INVS394DMU",,"SULAWESI SELATAN","KAB. TORAJA UTARA","RINDINGALLO","Belum diisi","2026-02-05 01:05:19.465","2026-02-05 01:05:19.465",,,,,,"3"
"02.SK.6644","20","0","0",,"INVS394DMU",,"SULAWESI SELATAN","KAB. TORAJA UTARA","RINDINGALLO","BULULANGKAN","2026-02-05 01:05:19.421","2026-02-05 01:05:19.421",,,,,,"3"
"02.SK.6645","20","0","0",,"INVS394DMU",,"SULAWESI SELATAN","KAB. TORAJA UTARA","RANTEBUA","PITUNG PENANIAN","2026-02-05 01:05:19.378","2026-02-05 01:05:19.378",,,,,,"3"
"02.SK.6646","20","0","0",,"INVS394DMU",,"SULAWESI SELATAN","KAB. TORAJA UTARA","RANTEBUA","Belum diisi","2026-02-05 01:05:19.334","2026-02-05 01:05:19.334",,,,,,"3"
"02.SK.6647","20","0","0",,"INVS394DMU",,"SULAWESI SELATAN","KAB. TORAJA UTARA","RANTEBUA","Belum diisi","2026-02-05 01:05:19.289","2026-02-05 01:05:19.289",,,,,,"3"
"02.SK.6648","20","0","0",,"INVS394DMU",,"SULAWESI SELATAN","KAB. TORAJA UTARA","KAPALA PITU","KANTUN POYA","2026-02-05 01:05:19.246","2026-02-05 01:05:19.246",,,,,,"3"
"02.SK.6649","10","0","0",,"INVSUBELVW",,"SULAWESI SELATAN","KAB. TORAJA UTARA","NANGGALA","Belum diisi","2026-02-05 01:05:19.203","2026-02-05 01:05:19.203",,,,,,"3"
"02.SK.6650","10","0","0",,"INVSUBELVW",,"SULAWESI SELATAN","KAB. TORAJA UTARA","NANGGALA","KARRE LIMBONG","2026-02-05 01:05:19.159","2026-02-05 01:05:19.159",,,,,,"3"
"02.SK.6651","10","0","0",,"INVSUBELVW",,"SULAWESI SELATAN","KAB. TORAJA UTARA","NANGGALA","Belum diisi","2026-02-05 01:05:19.114","2026-02-05 01:05:19.114",,,,,,"3"
