"id","sppgId","masterItemId","isCompleted","updatedAt"
"cmlc399j1000m3q2yw5m4z8ck","01.214.0149","cmlc2u35q000a3q2yznjrhws3","false","2026-02-07 09:05:04.38"
"cmlc399kr000o3q2yy5kfr5mi","01.214.0149","cmlc2u38s000b3q2y1hntttel","true","2026-02-07 09:05:04.443"
